id,name,type1,type2,hp,attack,defense,special-attack,special-defense,speed,weight,height,image_url,generation,category,total_stats,combined_type
1,bulbasaur,planta,veneno,45,49,49,65,65,45,69,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,1,Común,318,planta/veneno
2,ivysaur,planta,veneno,60,62,63,80,80,60,130,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,1,Común,405,planta/veneno
3,venusaur,planta,veneno,80,82,83,100,100,80,1000,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,1,Común,525,planta/veneno
4,charmander,fuego,,39,52,43,60,50,65,85,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,1,Común,309,fuego
5,charmeleon,fuego,,58,64,58,80,65,80,190,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,1,Común,405,fuego
6,charizard,fuego,volador,78,84,78,109,85,100,905,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,1,Común,534,fuego/volador
7,squirtle,agua,,44,48,65,50,64,43,90,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,1,Común,314,agua
8,wartortle,agua,,59,63,80,65,80,58,225,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,1,Común,405,agua
9,blastoise,agua,,79,83,100,85,105,78,855,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,1,Común,530,agua
10,caterpie,bicho,,45,30,35,20,20,45,29,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,1,Común,195,bicho
11,metapod,bicho,,50,20,55,25,25,30,99,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,1,Común,205,bicho
12,butterfree,bicho,volador,60,45,50,90,80,70,320,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,1,Común,395,bicho/volador
13,weedle,bicho,veneno,40,35,30,20,20,50,32,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,1,Común,195,bicho/veneno
14,kakuna,bicho,veneno,45,25,50,25,25,35,100,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,1,Común,205,bicho/veneno
15,beedrill,bicho,veneno,65,90,40,45,80,75,295,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,1,Común,395,bicho/veneno
16,pidgey,normal,volador,40,45,40,35,35,56,18,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,1,Común,251,normal/volador
17,pidgeotto,normal,volador,63,60,55,50,50,71,300,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,1,Común,349,normal/volador
18,pidgeot,normal,volador,83,80,75,70,70,101,395,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,1,Común,479,normal/volador
19,rattata,normal,,30,56,35,25,35,72,35,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,1,Común,253,normal
20,raticate,normal,,55,81,60,50,70,97,185,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,1,Común,413,normal
21,spearow,normal,volador,40,60,30,31,31,70,20,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,1,Común,262,normal/volador
22,fearow,normal,volador,65,90,65,61,61,100,380,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,1,Común,442,normal/volador
23,ekans,veneno,,35,60,44,40,54,55,69,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,1,Común,288,veneno
24,arbok,veneno,,60,95,69,65,79,80,650,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,1,Común,448,veneno
25,pikachu,eléctrico,,35,55,40,50,50,90,60,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,1,Común,320,eléctrico
26,raichu,eléctrico,,60,90,55,90,80,110,300,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,1,Común,485,eléctrico
27,sandshrew,tierra,,50,75,85,20,30,40,120,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,1,Común,300,tierra
28,sandslash,tierra,,75,100,110,45,55,65,295,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,1,Común,450,tierra
29,nidoran-f,veneno,,55,47,52,40,40,41,70,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,1,Común,275,veneno
30,nidorina,veneno,,70,62,67,55,55,56,200,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,1,Común,365,veneno
31,nidoqueen,veneno,tierra,90,92,87,75,85,76,600,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,1,Común,505,veneno/tierra
32,nidoran-m,veneno,,46,57,40,40,40,50,90,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,1,Común,273,veneno
33,nidorino,veneno,,61,72,57,55,55,65,195,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,1,Común,365,veneno
34,nidoking,veneno,tierra,81,102,77,85,75,85,620,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,1,Común,505,veneno/tierra
35,clefairy,hada,,70,45,48,60,65,35,75,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,1,Común,323,hada
36,clefable,hada,,95,70,73,95,90,60,400,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,1,Común,483,hada
37,vulpix,fuego,,38,41,40,50,65,65,99,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,1,Común,299,fuego
38,ninetales,fuego,,73,76,75,81,100,100,199,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,1,Común,505,fuego
39,jigglypuff,normal,hada,115,45,20,45,25,20,55,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,1,Común,270,normal/hada
40,wigglytuff,normal,hada,140,70,45,85,50,45,120,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,1,Común,435,normal/hada
41,zubat,veneno,volador,40,45,35,30,40,55,75,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,1,Común,245,veneno/volador
42,golbat,veneno,volador,75,80,70,65,75,90,550,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,1,Común,455,veneno/volador
43,oddish,planta,veneno,45,50,55,75,65,30,54,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,1,Común,320,planta/veneno
